Rank,Average Temperature ▼,State / Population
1,72.95°F,"Hawaii / 1,392,704"
2,71.80°F,"Florida / 19,361,792"
3,66.74°F,"Louisiana / 4,601,049"
4,65.97°F,"Arizona / 6,561,516"
5,65.97°F,"Texas / 26,092,033"
6,63.50°F,"Mississippi / 2,984,345"
7,62.68°F,"Alabama / 4,817,678"
8,62.30°F,"Georgia / 9,907,756"
9,61.70°F,"South Carolina / 4,727,273"
10,61.17°F,"California / 38,066,920"
11,60.14°F,"Oklahoma / 3,818,851"
12,60.09°F,"Arkansas / 2,947,036"
13,58.70°F,"North Carolina / 9,750,405"
14,58.11°F,"Tennessee / 6,451,365"
15,57.30°F,"Nevada / 2,761,584"
16,55.62°F,"Kentucky / 4,383,272"
17,55.54°F,"Virginia / 8,185,131"
18,54.73°F,"District of Columbia / 633,736"
19,54.70°F,"Missouri / 6,028,076"
20,54.68°F,"Kansas / 2,882,946"
21,54.61°F,"Maryland / 5,887,776"
22,54.48°F,"Delaware / 917,060"
23,53.08°F,"West Virginia / 1,853,881"
24,53.07°F,"New Mexico / 2,080,085"
25,51.93°F,"New Jersey / 8,874,374"
26,51.81°F,"Indiana / 6,542,411"
27,51.37°F,"Illinois / 12,868,747"
28,51.27°F,"Oregon / 3,900,343"
29,50.88°F,"Ohio / 11,560,380"
30,50.47°F,"Washington / 6,899,123"
31,49.88°F,"Nebraska / 1,855,617"
32,49.80°F,"Pennsylvania / 12,758,729"
33,49.55°F,"Utah / 2,858,111"
34,49.27°F,"Rhode Island / 1,053,252"
35,48.60°F,"Connecticut / 3,592,053"
36,48.17°F,"New York / 19,594,330"
37,48.14°F,"Massachusetts / 6,657,291"
38,48.14°F,"Iowa / 3,078,116"
39,46.64°F,"Michigan / 9,889,024"
40,46.32°F,"Idaho / 1,599,464"
41,46.26°F,"Colorado / 5,197,580"
42,45.54°F,"South Dakota / 834,708"
43,44.71°F,"Wisconsin / 5,724,692"
44,44.49°F,"New Hampshire / 1,321,069"
45,44.18°F,"Montana / 1,006,370"
46,43.74°F,"Vermont / 626,358"
47,43.47°F,"Wyoming / 575,251"
48,43.09°F,"Maine / 1,328,535"
49,42.98°F,"Minnesota / 5,383,661"
50,40.80°F,"North Dakota / 704,925"
51,32.03°F,"Alaska / 728,300"